,Channel,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
120,CBS,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50,Mon Dec 04 02:49:27 +0000 2017,0.7906,0.269,0.0,0.731
121,CBS,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…",Mon Dec 04 02:47:39 +0000 2017,0.8689,0.329,0.0,0.671
122,CBS,RT @tessab13: The Siamese Elephants skit on the Carol Burnett show is such a classic and possibly my favorite. Loved Tim Conway! #CarolBurn…,Mon Dec 04 02:43:14 +0000 2017,0.8016,0.264,0.0,0.736
123,CBS,RT @inezpanebianco: @OfficialBPeters and Carol Burnett reminiscing back on the carol burnett show is my idea of a perfect night ❤️ #CarolBu…,Mon Dec 04 02:26:30 +0000 2017,0.5719,0.156,0.0,0.844
124,CBS,"What a performance by @OfficialBPeters, @KChenoweth, Carol Burnett, Steve Lawrence, and @StephenAtHome!… https://t.co/DqewQ6ASQp",Mon Dec 04 02:22:42 +0000 2017,0.0,0.0,0.0,1.0
125,CBS,RT @jonjeffryes: Bob Mackie created 65 costumes a week for The Carol Burnett Show #CarolBurnett50,Mon Dec 04 02:12:59 +0000 2017,0.25,0.133,0.0,0.867
126,CBS,RT @bmayberry92: Steve Carell with that video submission though! 😂 #carolburnett50,Mon Dec 04 01:56:26 +0000 2017,0.0,0.0,0.0,1.0
127,CBS,She’s still got it! #CarolBurnett50 https://t.co/zTxZc5zrqP,Mon Dec 04 01:55:44 +0000 2017,0.0,0.0,0.0,1.0
128,CBS,RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50,Mon Dec 04 01:43:24 +0000 2017,0.8591,0.487,0.0,0.513
129,CBS,RT @bpeters99: #CarolBurnett50  Am I the Only one with tears in my eyes while I give a standing ovation from my couch? One of the most bril…,Mon Dec 04 01:33:37 +0000 2017,-0.2263,0.0,0.076,0.924
